geoID,cell_line,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM554074,HeLa,,,,,,,,,,,,,,,,,,expression,data,of,HeLa,cells,HeLa,cells,control,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM554nnn/GSM554074/GSM554074.cel.gz
GSM650992,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM818832,HeLa,,,,,,,,,,,,,,,,,,with,FBS,HeLa,cells,cultured,with,FBS,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM818nnn/GSM818832/GSM818832.CEL.gz,
GSM818833,HeLa,,,,,,,,,,,,,,,,,,with,FBS,HeLa,cells,cultured,with,FBS,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM818nnn/GSM818833/GSM818833.CEL.gz,
GSM818834,HeLa,,,,,,,,,,,,,,,,,,with,FBS,HeLa,cells,cultured,with,FBS,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM818nnn/GSM818834/GSM818834.CEL.gz,
GSM930228,HeLa,,,,,,,,,,,,,,,,,,of,parental,HeLa,cells,parental,HeLa,cells,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM930nnn/GSM930228/GSM930228_Cnt_1.CEL.gz,
GSM930229,HeLa,,,,,,,,,,,,,,,,,,of,parental,HeLa,cells,parental,HeLa,cells,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM930nnn/GSM930229/GSM930229_Cnt_2.CEL.gz,
GSM930230,HeLa,,,,,,,,,,,,,,,,,,of,parental,HeLa,cells,parental,HeLa,cells,ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM930nnn/GSM930230/GSM930230_Cnt_3.CEL.gz,
GSM960275,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960283,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960291,HeLa,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM173532,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM173533,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM173534,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM886422,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM886423,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM886433,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM886434,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM886435,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960281,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960289,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
GSM960297,keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,
